Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price,Price Date,Year,Month
27,Ratlam,A lot,Garlic,Garlic,FAQ,4372.0,12300.0,8000.0,2/29/2024,2024,February
28,Ratlam,A lot,Garlic,Garlic,FAQ,6300.0,10807.0,10807.0,8/2/2024,2024,August
29,Ratlam,A lot,Garlic,Garlic,FAQ,8060.0,12500.0,12500.0,8/22/2024,2024,August
30,Ratlam,A lot,Garlic,Garlic,FAQ,8500.0,21000.0,21000.0,10/7/2024,2024,October
31,Ratlam,A lot,Garlic,Garlic,FAQ,9015.0,22500.0,18000.0,11/7/2024,2024,November
32,Ratlam,A lot,Garlic,Garlic,FAQ,9102.0,18000.0,18000.0,8/29/2024,2024,August
33,Ratlam,A lot,Garlic,Garlic,FAQ,9500.0,9500.0,9500.0,11/19/2024,2024,November
34,Ratlam,A lot,Garlic,Garlic,FAQ,12501.0,13601.0,13601.0,11/18/2024,2024,November
35,Shajapur,Agar,Garlic,Garlic,FAQ,500.0,25200.0,19000.0,11/21/2024,2024,November
36,Shajapur,Agar,Garlic,Garlic,FAQ,2000.0,26700.0,18600.0,11/26/2024,2024,November
37,Shajapur,Agar,Garlic,Garlic,FAQ,2700.0,21000.0,13000.0,12/6/2024,2024,December
39,Shajapur,Agar,Garlic,Garlic,FAQ,3000.0,18900.0,15700.0,9/30/2024,2024,September
41,Shajapur,Agar,Garlic,Garlic,FAQ,7200.0,23700.0,14000.0,9/9/2024,2024,September
42,Shajapur,Agar,Garlic,Garlic,FAQ,8000.0,30000.0,13100.0,10/23/2024,2024,October
48,Agar Malwa,Agar(F&V),Garlic,Average,FAQ,8000.0,27400.0,15000.0,11/18/2024,2024,November
49,Agar Malwa,Agar(F&V),Garlic,Average,FAQ,10000.0,25200.0,14500.0,11/20/2024,2024,November
51,Shajapur,Akodiya,Garlic,Average,FAQ,500.0,15851.0,6000.0,6/21/2024,2024,June
53,Shajapur,Akodiya,Garlic,Average,FAQ,1000.0,14400.0,5500.0,6/11/2024,2024,June
54,Shajapur,Akodiya,Garlic,Average,FAQ,1000.0,14600.0,4000.0,4/4/2024,2024,April
86,Ratlam,A lot,Garlic,Garlic,FAQ,3201.0,14500.0,14500.0,7/11/2024,2024,July
87,Ratlam,A lot,Garlic,Garlic,FAQ,3850.0,16010.0,6100.0,5/7/2024,2024,May
88,Ratlam,A lot,Garlic,Garlic,FAQ,4151.0,11200.0,6700.0,3/5/2024,2024,March
89,Ratlam,A lot,Garlic,Garlic,FAQ,4200.0,8650.0,7201.0,3/12/2024,2024,March
90,Ratlam,A lot,Garlic,Garlic,FAQ,4300.0,10800.0,8100.0,4/25/2024,2024,April
91,Ratlam,A lot,Garlic,Garlic,FAQ,5400.0,13500.0,6900.0,5/27/2024,2024,May
92,Ratlam,A lot,Garlic,Garlic,FAQ,6050.0,12600.0,6700.0,5/29/2024,2024,May
93,Ratlam,A lot,Garlic,Garlic,FAQ,6201.0,9670.0,8000.0,7/2/2024,2024,July
94,Ratlam,A lot,Garlic,Garlic,FAQ,6201.0,12012.0,12012.0,7/3/2024,2024,July
95,Ratlam,A lot,Garlic,Garlic,FAQ,6507.0,11400.0,11400.0,6/15/2024,2024,June
96,Ratlam,A lot,Garlic,Garlic,FAQ,7310.0,14150.0,14150.0,7/30/2024,2024,July
97,Ratlam,A lot,Garlic,Garlic,FAQ,8901.0,18000.0,18000.0,10/16/2024,2024,October
98,Ratlam,A lot,Garlic,Garlic,FAQ,11500.0,18700.0,18700.0,12/9/2024,2024,December
99,Ratlam,A lot,Garlic,Garlic,FAQ,12000.0,12000.0,12000.0,7/6/2024,2024,July
100,Ratlam,A lot,Garlic,Garlic,FAQ,12099.0,16070.0,16070.0,10/15/2024,2024,October
101,Ratlam,A lot,Garlic,Garlic,FAQ,13000.0,21301.0,21301.0,9/5/2024,2024,September
102,Ratlam,A lot,Garlic,Garlic,FAQ,13500.0,23000.0,23000.0,11/14/2024,2024,November
103,Ratlam,A lot,Garlic,Garlic,FAQ,17200.0,19000.0,19000.0,11/27/2024,2024,November
104,Shajapur,Agar,Garlic,China,FAQ,13200.0,13200.0,13200.0,11/5/2024,2024,November
106,Shajapur,Agar,Garlic,Garlic,FAQ,1400.0,28000.0,14700.0,11/4/2024,2024,November
108,Shajapur,Agar,Garlic,Garlic,FAQ,3700.0,28000.0,16500.0,12/2/2024,2024,December
109,Shajapur,Agar,Garlic,Garlic,FAQ,10100.0,23700.0,15100.0,10/4/2024,2024,October
140,Ratlam,A lot,Garlic,Garlic,FAQ,1601.0,23100.0,23100.0,10/28/2024,2024,October
141,Ratlam,A lot,Garlic,Garlic,FAQ,2010.0,9061.0,3200.0,3/26/2024,2024,March
142,Ratlam,A lot,Garlic,Garlic,FAQ,3300.0,10200.0,6500.0,3/28/2024,2024,March
143,Ratlam,A lot,Garlic,Garlic,FAQ,8050.0,14800.0,14800.0,8/8/2024,2024,August
144,Ratlam,A lot,Garlic,Garlic,FAQ,8500.0,11000.0,11000.0,8/5/2024,2024,August
145,Ratlam,A lot,Garlic,Garlic,FAQ,10000.0,19000.0,19000.0,10/8/2024,2024,October
146,Ratlam,A lot,Garlic,Garlic,FAQ,17500.0,18100.0,17500.0,11/25/2024,2024,November
147,Shajapur,Agar,Garlic,Average,FAQ,9800.0,9800.0,9800.0,12/11/2024,2024,December
148,Shajapur,Agar,Garlic,Average,FAQ,9900.0,11400.0,11400.0,11/4/2024,2024,November
149,Shajapur,Agar,Garlic,Average,FAQ,19800.0,19800.0,19800.0,11/26/2024,2024,November
150,Shajapur,Agar,Garlic,Garlic,FAQ,500.0,28000.0,21500.0,11/19/2024,2024,November
152,Shajapur,Agar,Garlic,Garlic,FAQ,2000.0,28200.0,15800.0,10/25/2024,2024,October
153,Shajapur,Agar,Garlic,Garlic,FAQ,4100.0,25800.0,18000.0,9/13/2024,2024,September
155,Agar Malwa,Agar(F&V),Garlic,Average,FAQ,10000.0,28000.0,15000.0,11/19/2024,2024,November
157,Shajapur,Akodiya,Garlic,Average,FAQ,500.0,15000.0,4000.0,5/15/2024,2024,May
158,Shajapur,Akodiya,Garlic,Average,FAQ,940.0,17100.0,10000.0,6/28/2024,2024,June
159,Shajapur,Akodiya,Garlic,Average,FAQ,1000.0,16601.0,8000.0,7/12/2024,2024,July
160,Shajapur,Akodiya,Garlic,Average,FAQ,1200.0,19700.0,8000.0,2/14/2024,2024,February
161,Shajapur,Akodiya,Garlic,Average,FAQ,2000.0,14000.0,8000.0,6/5/2024,2024,June
164,Shajapur,Akodiya,Garlic,Average,FAQ,15000.0,19700.0,15000.0,1/10/2024,2024,January
188,Ratlam,A lot,Garlic,Garlic,FAQ,3750.0,15501.0,15501.0,5/24/2024,2024,May
189,Ratlam,A lot,Garlic,Garlic,FAQ,3800.0,8631.0,4900.0,3/19/2024,2024,March
190,Ratlam,A lot,Garlic,Garlic,FAQ,3960.0,11700.0,11700.0,5/8/2024,2024,May
191,Ratlam,A lot,Garlic,Garlic,FAQ,5699.0,9900.0,9900.0,6/3/2024,2024,June
192,Ratlam,A lot,Garlic,Garlic,FAQ,6701.0,7311.0,7311.0,6/20/2024,2024,June
